pert_iname,broad_id,InChIKey,pubchem_cid,smiles,vendor,catalog_no,vendor_name,purity,expected_mass,clinical_phase,moa,primary_target,family_primary,role,concentration_basis,potency_nM,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,format,wells_needed_range_finding,wells_needed_primary,notes
efinaconazole,BRD-A30774155-001-01-2,NFEZZTICAUWDHU-KDOFPFPSSA-N,9819704.0,"C[C@@H](N1CCC(=C)CC1)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F |a:1,&1:9|",MedChemEx,HY-15660,Efinaconazole,92.45,348.176,Launched,lanosterol demethylase inhibitor,CYP51A1,epigenetic (selective probe),discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
encorafenib,BRD-K00003576-001-01-9,CMJCXYNUCSMDBY-ZDUSSCGKSA-N,50922675.0,COC(=O)N[C@@H](C)CNc1nccc(n1)-c1cn(nc1-c1cc(Cl)cc(NS(C)(=O)=O)c1F)C(C)C,MedChemEx,HY-15605,Encorafenib,97.1,539.152,Launched,RAF inhibitor,BRAF,kinase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
entacapone,BRD-K83636919-001-05-5,JRURYQJSLYLRLN-BJMVGYQFSA-N,5281081.0,CCN(CC)C(=O)C(=C\c1cc(O)c(O)c(c1)[N+]([O-])=O)\C#N,Selleck,S3147,Entacapone,97.02,305.101,Launched,catechol O methyltransferase inhibitor,COMT,epigenetic (selective probe),discovery compound,primary potency (Guide to Pharmacology),0.316,0.948,9.48,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
ertugliflozin,BRD-K00003574-001-01-9,MCIACXAZCBVDEE-CUUWFGFTSA-N,44814423.0,CCOc1ccc(Cc2cc(ccc2Cl)[C@]23OC[C@](CO)(O2)[C@@H](O)[C@H](O)[C@H]3O)cc1,MedChemEx,HY-15461,Ertugliflozin,97.81,436.129,Launched,sodium/glucose cotransporter inhibitor,SLC5A2,transporter,discovery compound,primary potency (Guide to Pharmacology),1995.262,5985.786,59857.86,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
escitalopram,BRD-K70301876-034-14-5,WSEQXVZVJXJVFP-FQEVSTJZSA-N,146570.0,CN(C)CCC[C@]1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,Tocris,4796,Escitalopram oxalate,98.5,324.164,Launched,selective serotonin reuptake inhibitor (SSRI),SLC6A4,transporter,discovery compound,primary potency (Guide to Pharmacology),1.995,5.985,59.85,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
fostamatinib,BRD-K85178109-001-03-1,GKDRMWXFWHEQQT-UHFFFAOYSA-N,11671467.0,COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)N(COP(O)(O)=O)c4n3)n2)cc(OC)c1OC,Selleck,S2625,R788 (Fostamatinib),92.92,580.148,Launched,SYK inhibitor,SYK,kinase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
fumagillin,BRD-A99367815-001-04-9,NGGMYCMLYOUNGM-FKSJYSFPSA-N,12015870.0,"CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@@H]1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C\C(O)=O |a:2,3,6,10,13,&1:9|",MedChemEx,HY-B0751,Fumagillin,86.8,458.23,Launched,methionine aminopeptidase inhibitor,METAP2,protease,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
isoconazole,BRD-K01825590-008-03-9,MPIPASJGOJYODL-GOSISDBHSA-N,25273632.0,Clc1ccc([C@@H](Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1 |&1:5|,MedChemEx,HY-B1444,Isoconazole (nitrate),99.12,413.986,Launched,fungal lanosterol demethylase inhibitor,CYP17A1,epigenetic (selective probe),discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
ketoconazole,BRD-K29113274-001-30-9,XMAYWYJOQHXEEK-ZEQKJWHPSA-N,47576.0,"CC(=O)N1CCN(CC1)c1ccc(OC[C@@H]2CO[C@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1 |&1:15,18|",Tocris,1103,Ketoconazole,96.08,530.149,Launched,sterol demethylase inhibitor,KCNA10,epigenetic (selective probe),discovery compound,primary potency (Guide to Pharmacology),100.0,300.0,3000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
lenalidomide,BRD-A17883755-001-06-1,GOTYRUGSSMKFNF-JTQLQIEISA-N,12044976.0,"Nc1cccc2C(=O)N(Cc12)[C@H]1CCC(=O)NC1=O |&1:11,r|",Selleck,S1029,Lenalidomide (CC-5013),98.9,259.096,Launched,anticancer agent,TNF,growth factor / cytokine,discovery compound,primary potency (Guide to Pharmacology),1584.893,4754.679,47546.79,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
