gene,avg_lfc_pD4,avg_neglogp_pD4,n_guides_pD4,guide_mean_lfc_pD4,guide_sd_pD4,guide_consistency_pD4,guide_t_pD4,guide_p_pD4,guide_FDR_pD4,avg_lfc_pD15,avg_neglogp_pD15,n_guides_pD15,guide_mean_lfc_pD15,guide_sd_pD15,guide_consistency_pD15,guide_t_pD15,guide_p_pD15,guide_FDR_pD15,avg_lfc_sD4,avg_neglogp_sD4,n_guides_sD4,guide_mean_lfc_sD4,guide_sd_sD4,guide_consistency_sD4,guide_t_sD4,guide_p_sD4,guide_FDR_sD4,avg_lfc_sD15,avg_neglogp_sD15,n_guides_sD15,guide_mean_lfc_sD15,guide_sd_sD15,guide_consistency_sD15,guide_t_sD15,guide_p_sD15,guide_FDR_sD15,in_secondary_library,sig_pD4,sig_pD15,sig_sD4,sig_sD15,primary_sign_agree,secondary_sign_agree,cross_library_agree,n_sig_timepoints,max_abs_lfc,screen_direction,effect_class,frac_multimapping_guides,multimapping_artifact,d4_concordant,crispr_tier,CRISPR_CAUSAL
Krit1,-0.714212966,2.79881415955,4.0,-0.715,0.26639569566092214,1.0,-5.36795460021304,0.012655572776224974,0.23832956459090338,-1.016780082,1.83965717661,4.0,-1.0175,1.592573912465813,0.75,-1.2778056855453386,0.29122575203804923,0.505667857797042,-0.72067872,2.33533384,10.0,-0.72,0.17204650534085253,1.0,-13.233863197688539,3.331406611641086e-07,1.7397345638570116e-06,-1.175765273,3.501835131,10.0,-1.1760000000000002,0.6580813863885766,1.0,-5.65103132420487,0.0003131895840144325,0.0011565342340131752,True,False,False,True,True,True,True,True,2,1.175765273,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Atp2b1,-1.17272582125,5.59626498781,4.0,-1.1724999999999999,0.06396613687465162,1.0,-36.66002223325248,4.464064598722527e-05,0.008889930773605424,0.58235231425,0.461334782779,4.0,0.5825,1.1638835852438163,0.75,1.0009592151400175,0.39060577688546194,0.5934829346516334,-0.735603281,2.441847191,10.0,-0.7350000000000001,0.20478986520062192,1.0,-11.349556180169312,1.2359897624409709e-06,4.209530350342437e-06,-0.354958307,1.626617801,10.0,-0.356,0.3352345779036259,0.9,-3.35815849922135,0.008413739607345547,0.018307674145612993,True,True,False,True,True,False,True,False,3,1.17272582125,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Arhgap1,-0.061735921,0.572891621463,4.0,-0.0625,0.10904891868637061,0.75,-1.1462745482099221,0.33482348124985556,0.7470891316679443,1.16417329475,0.806190185357,4.0,1.165,0.12233832869001712,1.0,19.045543820561686,0.000316080062224527,0.027719824703874837,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.16417329475,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Kat8,-0.566560172,2.1873542469,4.0,-0.5675,0.21391197566600456,1.0,-5.305920795066441,0.01306967735373507,0.24164929089396248,1.15782903175,0.808274472051,4.0,1.155,0.11150485789118489,1.0,20.7165861980137,0.0002459717301222987,0.02370115231390171,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.15782903175,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Pitpnc1,-0.12657509575,0.621702225323,4.0,-0.125,0.21299452262127933,0.75,-1.1737391033501798,0.32520131878207525,0.7390742364100571,1.156964209,0.782827409505,4.0,1.1575,0.16317168872080726,1.0,14.187510211780978,0.0007586454563861687,0.04582480912349884,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.156964209,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Apc,-0.91304234125,3.63654653317,4.0,-0.9125,0.34519318262870335,1.0,-5.286894677647809,0.013200224856607485,0.24164929089396248,-1.0715713955,2.06008888028,4.0,-1.07,0.7500222218930139,1.0,-2.8532487938807476,0.06493557724268519,0.2519845458603109,-0.58086223,1.760721707,9.0,-0.5822222222222223,0.11020183503211027,1.0,-15.849705825295272,2.5120180271526305e-07,1.5327539205219829e-06,-1.155551748,2.95312702,10.0,-1.1549999999999998,0.8809874510393941,0.8,-4.145837370538387,0.0024998193909207536,0.00667565405529974,True,False,False,True,True,True,True,True,2,1.155551748,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Gpr12,0.0692886985,0.712081271265,4.0,0.0675,0.09604686356149272,0.75,1.4055638569974547,0.2545157682443285,0.689320390541559,1.144459382,0.793044554767,4.0,1.1425,0.13073510112692255,1.0,17.478091042906957,0.0004082200357203245,0.0316577463800996,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.144459382,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Kcns1,0.01864340025,0.549571870991,4.0,0.017499999999999995,0.16090887690449732,0.5,0.2175144135818759,0.8417616455073444,0.956408055823279,1.11887590025,0.755380259758,4.0,1.12,0.1669331203406522,1.0,13.418547472358647,0.0008948259717126729,0.04954220499913363,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.11887590025,1.0,KO_promotes_maturation,0.25,False,False,B_primary_reproducible,True
Cfhr1,-0.2216585475,0.761962150682,4.0,-0.22250000000000003,0.3676388626537371,0.75,-1.2104269847530404,0.31278245432579127,0.730546048882169,1.114461468,0.805944300336,4.0,1.115,0.07047458170621988,1.0,31.64261420232292,6.935765136634746e-05,0.009822543058369208,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.114461468,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Mcm10,-0.526394548,1.88267280796,4.0,-0.525,0.269010532631469,1.0,-3.903192896311044,0.02985736175129745,0.3406758730133343,1.09764710775,0.750038641747,4.0,1.0975,0.16337584480781323,1.0,13.435278652006867,0.0008915307889959947,0.04954220499913363,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.09764710775,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
